Max,Mean,Min,StandardDev,AvgDev
873.407715,669.514686,549.389648,123.227519,112.655196
881.76355,694.102317,574.116699,75.612393,56.0691
993.262817,804.613242,647.485107,127.316077,118.925029
994.554688,802.975388,640.978149,130.931037,122.408562
993.334778,726.867929,583.072876,125.04894,102.62085
706.077881,625.417486,570.595276,35.724796,31.127643
892.826416,701.837799,571.533875,95.73732,78.236859
897.256348,718.568444,585.471619,96.538686,84.021914
840.322571,687.268924,568.85321,78.02892,65.445346
852.977112,711.325159,564.207397,95.642157,87.070429
913.217407,709.278582,566.664795,96.740786,79.469456
870.733582,727.81662,563.22821,95.297239,86.11377
963.02594,755.224005,596.667419,106.928177,88.729595
946.22937,748.895141,604.832214,99.210304,86.706006
834.804138,673.966534,569.787659,73.614902,60.870644
844.874573,702.063925,568.911255,89.247647,80.396757
951.414185,710.497624,555.220703,117.007346,100.157559
933.325745,709.247044,573.959045,92.115619,77.796927
857.723145,698.090004,570.564636,87.626877,77.364028
972.888977,707.406563,572.014832,130.654319,108.756723
974.566589,750.459384,576.580444,130.549875,117.114367
940.498291,711.674382,560.333801,113.987109,95.999361
857.499878,659.711714,560.287415,84.199967,66.18889
911.283691,707.658207,576.556152,101.098045,87.102009
917.687317,717.795474,569.999146,120.919313,110.259826
888.046143,684.132093,555.739136,100.445005,85.171841
873.414551,694.316228,579.242615,89.692857,76.578028
925.469055,675.880745,573.102112,99.486859,77.688288
920.742065,712.495286,570.622498,106.52072,95.138223
945.86731,721.953394,574.306519,107.252677,89.739198
957.969177,717.298508,560.215149,120.845755,104.830678
850.699707,691.502427,547.336304,90.307258,79.495807
930.015564,742.301857,569.95874,103.487421,88.735176
875.775085,754.216559,593.300964,89.603041,80.616945
895.235168,722.051883,561.61731,98.777635,86.969292
968.296448,717.765032,543.964172,129.980762,115.568291
924.167725,734.250903,604.468384,112.883854,103.898358
918.558105,682.574268,572.080444,89.502057,76.524673
929.981201,723.73458,581.541077,104.333474,87.921838
819.041504,695.826844,594.037903,64.055185,54.203111
857.813477,727.767669,608.267212,83.184895,73.413452
848.736145,674.04395,570.548828,79.840427,68.018225
848.437378,707.978182,583.03772,87.386499,75.967378
843.337402,699.554593,572.742554,86.125901,77.619734
853.249084,684.76859,570.330627,97.376595,84.741121
1066.880493,815.500805,560.473022,186.286465,173.603301
973.285645,721.105674,551.341064,140.760755,128.718782
1042.108398,764.786773,556.880615,163.462722,145.474616
1120.361572,832.176173,552.794739,193.588241,172.571818
1091.786621,771.320079,549.520691,172.319565,145.47201
1076.688965,790.510369,551.101624,167.118532,140.232968
1036.367676,754.312936,561.698303,154.291114,133.545515
1107.749512,800.243244,562.619751,187.334763,171.961225
1018.147827,715.608714,559.475647,147.580955,125.766291
1086.983887,788.81471,549.244019,186.281688,170.589764
831.642334,670.739703,536.988831,93.421435,82.169704
800.302429,685.65208,574.13324,67.870351,59.898202
796.708862,681.032394,559.237,72.715989,64.190986
788.475098,672.573269,567.652161,64.046974,54.580993
958.641724,711.803864,550.630554,122.192019,99.205883
849.612244,702.0472,559.476562,85.319768,74.296785
798.025696,686.381058,571.044678,66.449206,56.285597
920.120117,722.625636,570.433167,97.912988,82.736501
923.204224,722.479994,571.874084,108.493082,91.138658
948.494568,735.090737,564.231323,118.257747,102.404624
1032.961792,783.451586,567.80542,153.096122,139.505686
1028.755127,718.89293,558.377991,146.464041,120.680917
1081.127197,819.038862,550.197266,176.817051,161.355797
999.09259,723.691217,548.015503,145.586307,126.926854
971.32074,748.964047,566.508606,150.109501,139.79037
947.279785,664.059921,554.410522,104.985814,95.997629
1037.494141,762.448798,544.757751,179.702775,166.637158
1043.466309,829.685511,566.637451,136.69223,123.668875
1037.590942,727.416957,533.438843,166.77726,142.205444
884.245422,700.71148,539.023193,107.799733,95.407825
924.801086,692.61044,541.617004,119.535931,100.370962
910.661865,646.335518,559.940186,67.684674,49.745805
858.702515,635.465412,553.169983,93.119835,72.559821
979.460083,733.360292,562.108521,141.20343,127.988912
938.621338,735.693834,552.50885,131.384357,117.089895
1026.61438,736.401002,551.349243,153.671372,128.259719
949.838928,753.730757,535.111206,139.565635,124.866424
979.708618,726.232669,535.111206,133.161056,115.154892
818.560303,691.75224,580.106873,79.243874,70.286466
915.390076,736.992652,551.120667,94.73307,76.312782
995.436584,710.203506,564.309326,119.715508,104.93976
1080.180054,822.919002,579.439392,178.091922,165.648918
1002.475952,791.596085,574.839966,157.881035,144.809934
1020.678223,750.372257,578.986206,168.818034,155.485612
1031.641846,702.430557,533.85675,159.650179,139.17706
1025.769409,693.92132,537.462585,149.809372,126.684907
1094.982666,801.806162,531.474365,183.85,165.489016
1091.260254,741.589194,575.71521,162.660547,145.919034
1108.217529,750.558172,584.055664,154.382287,132.357931
974.191956,748.993629,583.304382,120.040034,106.269234
1070.297607,747.391078,606.971191,153.334983,127.872193
1031.832397,715.610068,528.601013,162.064405,140.654868
1003.855042,753.092531,531.045166,166.878478,154.9311
1024.679932,747.471844,543.112305,160.530513,144.887795
1075.710938,780.184235,535.500671,204.89821,194.977511
972.568787,695.756324,541.270752,141.79456,127.234955
1047.56958,747.440845,530.50354,187.086247,172.353398
1055.797852,722.637562,521.810303,177.643671,152.648334
1004.981567,705.388336,526.164429,154.563228,131.740741
1003.289612,716.487211,547.995422,153.758899,135.475518
1036.168457,783.812125,526.272766,180.53715,166.906737
1014.04834,683.78127,523.448181,169.396315,147.992186
1026.727783,744.213334,504.386749,180.782603,158.651343
980.522827,703.577236,508.71701,165.884146,151.202878
1007.808044,688.51351,510.7612,177.867349,161.073722
1005.050232,769.389347,459.117645,204.506404,186.008661
1012.891907,650.774632,485.651123,193.094427,168.858913
1066.744629,806.357366,506.84613,215.05985,201.858196
961.100952,637.249449,484.127045,151.083764,126.476881
1015.928162,774.597385,491.899384,193.86462,175.955976
1051.251587,686.168328,500.108978,210.293959,190.102805
1048.113037,784.42212,504.660278,194.514285,179.141323
