Max,Mean,Min,StandardDev,AvgDev
658.161072,650.181246,642.266296,3.589858,2.880501
663.036926,654.987115,645.093018,4.082746,3.334621
657.958191,651.342173,644.284119,3.16923,2.490396
662.191833,654.960363,644.978271,3.776667,3.073234
666.47583,656.080676,645.735229,4.497087,3.566355
667.588928,656.178781,649.087036,3.794438,3.006049
662.487732,653.72805,642.604858,4.483242,3.580661
660.5672,651.922339,642.480347,3.861925,3.031097
659.27533,650.820353,641.368042,3.825939,3.154033
664.224365,652.114587,642.299011,3.880065,2.922727
663.363403,652.949737,643.594604,4.268183,3.517051
664.474243,655.458751,641.015625,4.399946,3.222787
661.468811,653.856753,642.961914,4.712376,3.901326
666.961792,655.449918,642.441467,4.520547,3.447191
667.423401,656.950163,650.064636,3.884657,3.089416
665.775513,655.973205,646.802917,3.479589,2.797401
663.947266,653.818432,643.94873,3.692051,2.904923
663.624146,654.134406,645.113159,3.887382,2.962151
662.862,653.841864,643.140747,4.353137,3.59275
660.56488,650.004812,639.824951,3.31929,2.380506
661.677429,649.785839,637.182861,5.09083,4.044772
657.683838,650.438574,639.683533,3.893847,3.132973
663.174194,652.098625,643.322632,4.279373,3.465931
659.359558,649.484838,641.02655,4.414997,3.650691
663.123657,653.498335,644.436951,4.03932,3.198262
660.182556,651.666053,641.914307,3.796393,2.991299
665.519348,655.335066,647.07959,3.718195,2.933224
662.862,653.677771,641.636963,4.262874,3.42445
662.317139,652.121919,644.317444,3.569748,2.824486
666.952759,654.272493,645.81189,4.25151,3.567786
662.563232,654.345371,647.077271,3.60211,2.867431
667.883972,656.431585,647.377014,4.202901,3.356608
668.635925,657.079256,647.468933,3.769793,2.919559
667.53125,655.389339,645.929565,4.677405,3.697296
664.001526,655.255329,644.765076,4.219487,3.438859
665.262329,656.048647,645.82428,4.098673,3.219724
663.166626,656.050266,645.517639,4.197401,3.492177
666.743591,657.275518,649.684509,3.759369,3.062125
664.35083,655.064368,646.180298,3.819329,3.044921
667.638367,657.4629,646.891785,3.485898,2.701182
673.318665,657.364494,646.44873,5.496567,4.309199
668.329285,657.820294,648.421143,4.046511,3.1302
667.997742,657.230211,646.483582,4.273592,3.400086
660.685242,654.357325,647.464294,3.140293,2.505814
667.899719,655.855762,647.226379,4.243822,3.302253
664.296631,657.007584,649.087036,3.492459,2.801427
666.532837,658.453758,649.167175,3.849565,3.082888
665.202209,658.571825,650.626648,3.463292,2.801705
665.231567,656.765758,647.485901,4.474946,3.638266
664.296631,656.382128,647.82251,3.628902,2.949855
665.715393,655.419145,644.51532,3.784793,2.933848
662.30658,653.27477,644.963562,3.872742,3.049788
658.168701,647.962883,641.088135,3.81174,2.984849
662.360168,651.167203,637.934937,4.187744,3.117982
661.780945,652.861592,643.68158,3.523998,2.756017
661.427246,649.82148,641.180969,4.156957,3.231902
659.455078,649.012658,640.046082,3.794204,2.870849
657.986328,648.6488,638.29541,4.5355,3.578961
