Max,Mean,Min,StandardDev,AvgDev
895.414978,700.790362,578.434082,97.328546,84.911139
881.565063,750.135496,656.009888,61.606011,51.882732
850.131165,693.621789,637.411194,40.920375,30.909865
878.062073,727.535024,667.459351,54.066579,42.119822
944.975159,808.632872,711.961365,45.186738,34.485837
1064.271606,995.858189,857.881714,40.527237,31.226011
1062.571899,1010.461953,967.508667,24.852241,20.39879
1054.037964,1007.751197,959.692139,26.456673,22.470175
1066.538818,998.645824,872.812683,51.403318,39.901603
1041.18396,999.754135,902.382385,27.635098,21.59372
1051.819824,970.455625,880.014771,49.6207,43.146514
882.72644,673.852118,546.204163,70.768089,54.603943
625.994385,558.392058,536.345947,20.509002,14.707686
688.782288,640.464758,576.171875,33.138447,29.059091
671.912964,631.072865,595.40741,22.281363,19.808629
673.914673,644.101402,625.733154,11.531126,9.507141
714.283569,678.113735,622.55603,17.037777,14.31404
725.210327,676.144992,640.281982,23.162397,19.830703
722.951599,687.643382,650.837952,19.455133,16.343038
711.050659,663.521804,598.267517,28.53838,22.120103
652.154114,579.566098,540.841003,23.038045,17.358738
658.171692,603.323069,531.807312,38.700105,34.02278
639.928894,612.761071,594.404724,9.463077,7.631998
639.19165,604.190971,584.273926,11.630714,9.319217
658.098755,619.789091,598.539062,14.515836,12.56696
717.886475,676.403871,616.344849,28.843431,25.127691
684.305481,656.788427,628.401917,10.224248,8.449773
707.966797,645.65678,578.934387,31.789865,24.223331
715.96228,638.509324,579.257263,31.051613,23.421025
624.453369,595.568541,530.612854,20.7268,15.025768
672.087036,597.06406,544.536499,30.671786,24.531251
640.591125,604.126119,570.524292,17.019473,13.782853
634.632202,606.844796,572.379272,13.112488,10.426556
661.145203,619.387202,582.323792,20.053786,16.610501
638.224121,617.483983,581.661438,12.435988,9.964483
649.806885,612.588249,579.801697,17.322926,14.125049
631.314514,599.829361,572.660461,13.048389,10.559806
662.11554,627.366442,571.360657,23.788319,19.188132
628.371704,547.741443,520.710083,27.583727,20.928352
564.575073,548.366673,530.970825,7.172756,5.74875
583.001709,555.434507,537.036316,10.053945,7.952481
595.769226,564.608085,524.417786,16.292351,13.120174
564.00708,550.021261,536.674927,6.961762,5.822508
631.502197,572.434917,530.423401,25.141116,18.85555
583.942627,553.957093,529.556396,11.902608,9.694424
594.571289,566.748645,537.699707,13.922036,11.261211
619.632935,570.796265,527.56134,25.814595,21.620126
625.418274,598.388458,557.255798,17.222256,14.232808
645.337891,590.399666,560.362366,21.365272,17.592279
633.826477,571.655962,520.008667,25.070645,20.119207
627.871033,569.469671,536.169739,20.691961,17.179243
598.76123,562.4481,519.902893,20.877614,17.534865
740.676697,574.676363,520.519958,51.860211,38.005108
735.25708,666.459825,604.239197,28.654226,21.88048
673.144104,624.805659,571.473511,24.378797,19.949681
699.732788,630.916773,582.040405,27.721459,22.142713
716.735657,649.354088,593.008423,27.190054,23.034087
664.115967,618.871482,578.661377,20.349655,16.678759
648.882874,596.669883,549.053711,19.583865,14.882335
639.925781,603.871783,570.005249,18.675548,15.917696
685.207275,626.924117,577.939453,29.572416,24.832945
754.807251,604.364873,524.622742,62.525357,50.379437
671.05365,582.194951,528.98584,33.584998,26.548838
641.134155,593.575374,555.147705,21.160239,16.985134
623.080261,599.449285,568.35022,13.4059,11.388739
621.800598,593.741647,564.078003,13.897958,11.268636
713.079224,613.548245,551.973755,42.640837,37.474021
762.282776,643.434433,556.540222,49.178827,39.463534
779.211121,690.09168,589.176514,51.059999,42.544632
815.579529,680.159542,563.703796,59.91419,47.216083
728.879944,634.875828,599.395508,30.523528,23.478515
640.976624,612.480341,589.115417,11.501955,9.66312
660.913025,629.833297,601.682617,13.912161,11.052693
705.119141,642.268645,594.788208,25.928523,21.47607
671.500549,628.84159,598.239929,18.134635,14.33262
730.510803,659.707319,606.83606,34.323993,27.520765
647.803223,602.779194,568.205078,19.127204,15.754333
683.833313,620.347219,555.026123,37.198447,33.004137
669.30188,585.937833,551.109802,20.230986,16.140074
643.012451,586.774419,554.26886,20.322359,16.498823
628.955505,579.614766,537.126587,20.780432,17.311937
617.530579,574.689968,535.712585,21.26728,18.055849
699.266785,626.584361,552.192017,38.60737,32.332844
728.368042,632.581007,556.25177,50.06306,41.834475
744.93689,624.940549,553.549438,37.100175,26.479461
672.319092,604.618151,555.081055,28.778379,22.947359
634.681824,594.299361,537.056824,23.522395,19.276054
616.287292,585.390782,531.584412,22.82059,18.795101
612.059631,574.841149,519.951904,24.160998,21.499312
632.838867,576.260394,530.48468,27.151581,23.517205
713.225769,625.731691,540.906616,42.768769,34.294483
706.366028,601.866725,563.794312,25.651617,20.362942
724.28241,621.341858,564.195862,31.150847,23.175634
660.101501,600.529944,534.891602,29.751293,24.016671
653.612244,592.408534,528.399475,29.49043,23.403757
677.265808,602.597057,536.138062,39.447225,35.301464
726.015869,673.669738,597.730713,24.100776,18.46925
700.318481,644.763293,584.326111,27.920539,22.726297
735.226501,674.605082,566.319702,37.803173,29.804412
733.788147,619.855251,566.968262,25.607042,17.921559
633.570068,594.717462,564.113464,17.032922,13.938926
686.723389,609.618689,565.658936,34.06794,27.196938
668.126465,598.712715,560.361511,24.249427,17.786389
696.465332,623.016209,564.986755,29.476721,23.724886
696.465332,605.208348,536.027954,34.75432,29.410119
642.428223,583.077248,532.207642,24.725484,20.361868
666.418762,617.916972,561.365295,29.336989,25.061531
731.263306,678.567895,633.818604,26.328794,23.381013
678.072266,643.433276,610.657043,16.477426,14.099824
725.920776,676.890945,628.726501,30.003585,27.329973
681.989746,630.598191,587.116699,26.063023,22.812045
656.326904,612.505638,567.957764,22.628368,18.547473
681.94281,611.131108,563.56366,29.714512,24.204721
714.091003,651.923895,588.960083,30.096496,23.880466
645.195312,585.348492,520.542969,33.523418,29.102929
620.378906,597.203312,572.662231,11.705147,9.428472
637.427673,600.987227,567.527954,15.346227,12.462427
669.110596,616.897759,571.941406,19.473457,14.452467
653.462341,616.574227,573.50238,18.667682,15.142615
623.70343,605.907889,580.223206,11.333556,9.513485
631.723022,598.727452,565.016785,15.509205,12.914364
666.366272,620.687891,586.715454,19.966109,16.123724
628.791687,603.345592,572.927551,14.343389,11.90168
632.521118,598.831067,553.656921,17.73535,14.190876
653.854736,610.03973,560.603271,20.521807,15.936765
647.235657,601.467059,565.497131,19.594555,16.290117
650.720398,604.139928,553.625305,23.724274,19.859029
666.135132,608.947399,558.788879,26.241862,21.309959
735.940186,616.962816,554.867554,35.780492,25.343549
650.557434,620.021833,588.170898,16.047121,13.79061
659.561951,615.98977,576.241272,17.540796,13.890292
654.57312,620.140489,574.359619,18.066369,14.192465
663.383728,625.761387,576.545776,21.895282,17.893321
642.853821,604.625497,555.062134,20.84911,16.90045
633.288269,604.291384,573.013062,17.177694,14.949334
723.460449,616.464284,565.697815,38.137389,29.224304
654.389038,613.541961,571.431519,23.971625,20.910309
661.075623,617.055481,572.520752,22.041415,17.925829
667.764954,629.088536,596.612122,19.343676,16.449674
658.186157,608.019975,555.27832,25.654308,21.636287
637.398621,608.606831,574.780823,17.593793,14.610763
657.984802,600.15455,524.003845,32.816959,26.637307
626.483826,582.199329,525.284668,27.567343,23.611534
626.605164,584.130756,533.679688,25.290762,22.113976
634.035461,589.37861,538.257385,27.921514,24.425167
628.638184,599.482464,558.677002,15.061294,11.685418
658.541565,612.04942,544.500671,29.034886,23.846802
674.01709,613.174839,565.65802,32.069672,27.516604
675.124451,606.080572,572.29364,17.942424,13.744475
667.708008,587.790096,526.856689,36.727455,31.36349
623.014465,578.773282,534.117004,20.348919,15.345244
618.932922,577.466205,536.73175,21.970326,18.560916
656.815063,594.168807,553.219666,25.249198,20.458632
610.539124,591.307885,561.635132,11.282069,8.418138
616.326233,556.366424,520.820496,29.544981,24.301647
623.969543,576.897627,525.262817,23.28852,18.542909
625.483826,582.327386,534.748535,23.084975,19.404686
631.732544,586.041259,541.273499,23.696196,19.319992
620.745544,590.811805,541.344604,18.156479,14.319395
620.745544,582.72323,537.136841,23.919109,19.802431
615.835999,584.084229,539.38208,19.379288,16.613913
651.162781,580.914401,543.847412,25.078648,19.843442
676.61731,597.901164,552.977417,28.199784,21.793271
618.829529,592.141619,555.587952,14.37009,11.926039
664.477234,604.914857,558.004456,26.202456,21.910327
624.06488,585.368851,541.391724,22.427997,19.518858
632.994446,583.758247,548.698486,18.828154,14.665593
629.460876,585.813701,526.976257,24.35702,20.17899
632.516418,588.292738,543.416077,22.917856,18.230803
648.584595,589.198494,541.273499,25.315179,20.455995
689.482422,614.466574,541.971375,30.777048,22.265295
633.992126,593.234301,547.09137,21.893154,17.102801
638.499023,589.535696,539.826843,28.74305,25.383549
649.351196,588.388861,547.574646,25.06502,21.036279
722.411255,625.731876,561.378662,43.705102,38.665419
641.646301,603.868097,538.162598,22.309588,16.672208
636.974854,608.71127,560.311523,17.864379,14.231315
684.49469,606.156021,546.700073,30.165407,23.351703
641.109985,591.536839,546.748596,21.292359,17.633913
636.010986,610.36752,567.742004,16.192297,13.372912
644.240662,600.459214,555.309814,25.786355,22.046929
640.597351,590.234913,563.733093,17.120074,14.067652
649.446716,613.612884,557.9104,19.613728,14.759655
645.882324,610.244732,553.694885,20.832842,15.665356
691.920532,615.144548,560.860962,26.667926,20.989687
702.175171,609.532595,564.079773,27.302297,21.651286
638.22644,592.816915,541.546875,25.026426,21.151224
613.659485,589.45551,552.919495,15.220339,12.846506
622.090027,581.650306,541.622559,17.524214,14.510337
616.563049,587.057457,553.023499,14.764779,12.698854
666.973755,616.342018,563.913086,24.679076,20.457304
682.144409,621.450939,576.484192,16.9082,12.30683
665.157104,619.756303,582.98114,20.984001,16.860715
